,,Basics,,,,,,,Year / project analysed,,,Information from CC Website,,,,Links,,,,People Helped,,,,,,,,,,,,,Money Flows - to find true(r) cost,,Money Flows - to find true(r) cost,,,,,,,,,,,,Money Flows - Incoming,,Reserves,,,App-Related Info,,,,,Description of charity,,Stories,Stories - source,Logo image,Photo Image,Photo Image,Photo Caption,Photo - source,Other ,,,,,Educated Guesses of Quality,,,
Soundseekers,The Commonwealth Society for the Deaf,Deafness & Health & International Aid,,,,1013870,Yes,Dan A,Overall,,,,,,,,,,,"66,000",People (singular: person) informed,This refers to people informed about aural health risks (prevention of hearing loss etc...),"1,100",Refurbished hearing aid(s) distributed (collected from UK and sent to developing countries),2000,Teachers trained to improve support for deaf children in classrooms,,,,,,,"£763,605",,,,,,,,,,,,,,,,"£401,861",53%,,,,,,,,,,,,,,,,,,,,,,,,"£51,748"
Soundseekers,The Commonwealth Society for the Deaf,Deafness & Health & International Aid,,,,,,,Audiology Support,,,,,,,,,,,110,Outreach visit(s),,,,,,,,,,,,"£105,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soundseekers,The Commonwealth Society for the Deaf,Deafness & Health & International Aid,,,,,,,Hearing and Assessment Research Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soundseekers,The Commonwealth Society for the Deaf,Deafness & Health & International Aid,,,,,,,Hearing aid Refurbishment Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soundseekers,The Commonwealth Society for the Deaf,Deafness & Health & International Aid,,,,,,,Comprehensive Audiology Service,,,,,,,,,,,,,,,,,,,,,,,,"£376,925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soundseekers,The Commonwealth Society for the Deaf,Deafness & Health & International Aid,,,,,,,Tele-Audiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soundseekers,The Commonwealth Society for the Deaf,Deafness & Health & International Aid,,,,,,,Promoting Primary Ear and Hearing Care,,,,,,,,,,,,,,,,,,,,,,,,"£31,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soundseekers,The Commonwealth Society for the Deaf,Deafness & Health & International Aid,,,,,,,Increasing Acess to Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Hedgehog Preservation Society,,Animals,,,,1164542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UN WFP (World Food Programme),,Hunger/Food/Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercy for animals,,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
The Humane League,,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
The Good Food Institute,,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
Albert Schweitzer Foundation,,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
Animal Equality,,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
Animal ethics,,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
Animals Australia,,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
Faunalytics,,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
Humane society of the United States' Farm Animal Protection Campaign (FAPC),,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
New Harvest,,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
The Nonhuman Rights Project (NhRP),,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
Vegan Outreach,,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
VEBU,,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://animalcharityevaluators.org/donation-advice/top-charities/,,,,,,,
Hand Angels,,Disabilities,,,,,,,,,,No - Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAD,,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gorilla Organisation,,Animals,,,,1117131,Yes,Emily,Overall,1-Jan-2015,31-Dec-2015,Yes,• EDUCATION / TRAINING • ANIMALS • ENVIRONMENT / CONSERVATION / HERITAGE • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT,• OTHER DEFINED GROUPS • THE GENERAL PUBLIC / MANKIND ,• PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=1117131&SubsidiaryNumber=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, we don't have enough information in the public domain to include impact figures",,,,,,,,,,,,Email sent on 2nd May 2017,http://www.bbc.co.uk/news/uk-england-hereford-worcester-39755510,,,,,,,
Coram,"Thomas Coram Foundation for Children, formerly Foundling Hospital",Children,,,,312278,Yes,Sanjay,Overall,1-Apr-2015,31-Mar-2016,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE PREVENTION OR RELIEF OF POVERTY • ACCOMMODATION / HOUSING • ARTS / CULTURE / HERITAGE / SCIENCE • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT,• CHILDREN / YOUNG PEOPLE • OTHER CHARITIES OR VOLUNTARY BODIES • OTHER DEFINED GROUPS ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=312278&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends78/0000312278_AC_20160331_E_C.pdf,,"P5 of accounts states: ""In 2015-16, the Coram group provided support to at least 1,310,600 individuals and users. There were 74,255 children and parents helped through direct services, 561,246 unique users benefitted from specialist digital-first advice services and up to 675,000 beneficiaries of Life Education programmes across at least 2,268 schools whilst 4,575 professionals in the UK were trained and support was extended to 34 countries.""",,,,,,,,,,,,,,"£19,356,812",,,,"£19,356,812",#DIV/0!,,,,,,,,,,,,,,,,"No, need to finish reviewing the info. We have some numbers (as noted) on page 5, but hard to see how to relate these to the costs. Need to read a bit more first to see if we can work it out from the accounts. I suspect we can't, in which case we contact hte charity.",,,,,,,,,,,,,,,,,,,,
Coram,"Thomas Coram Foundation for Children, formerly Foundling Hospital",Children,,,,312278,Yes,Sanjay,Promoting the care and welfare of children,1-Apr-2015,31-Mar-2016,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE PREVENTION OR RELIEF OF POVERTY • ACCOMMODATION / HOUSING • ARTS / CULTURE / HERITAGE / SCIENCE • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT,• CHILDREN / YOUNG PEOPLE • OTHER CHARITIES OR VOLUNTARY BODIES • OTHER DEFINED GROUPS ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=312278&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends78/0000312278_AC_20160331_E_C.pdf,,"P5 of accounts states: ""In 2015-16, the Coram group provided support to at least 1,310,600 individuals and users. There were 74,255 children and parents helped through direct services, 561,246 unique users benefitted from specialist digital-first advice services and up to 675,000 beneficiaries of Life Education programmes across at least 2,268 schools whilst 4,575 professionals in the UK were trained and support was extended to 34 countries.""",,,,,,,,,,,,,,"£9,852,121",,,,"£9,852,121",#DIV/0!,,,,,,,,,,,,,,,,"No, need to finish reviewing the info. We have some numbers (as noted) on page 5, but hard to see how to relate these to the costs. Need to read a bit more first to see if we can work it out from the accounts. I suspect we can't, in which case we contact hte charity.",,,,,,,,,,,,,,,,,,,,
Coram,"Thomas Coram Foundation for Children, formerly Foundling Hospital",Children,,,,312278,Yes,Sanjay,Health education programmes,1-Apr-2015,31-Mar-2016,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE PREVENTION OR RELIEF OF POVERTY • ACCOMMODATION / HOUSING • ARTS / CULTURE / HERITAGE / SCIENCE • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT,• CHILDREN / YOUNG PEOPLE • OTHER CHARITIES OR VOLUNTARY BODIES • OTHER DEFINED GROUPS ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=312278&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends78/0000312278_AC_20160331_E_C.pdf,,"P5 of accounts states: ""In 2015-16, the Coram group provided support to at least 1,310,600 individuals and users. There were 74,255 children and parents helped through direct services, 561,246 unique users benefitted from specialist digital-first advice services and up to 675,000 beneficiaries of Life Education programmes across at least 2,268 schools whilst 4,575 professionals in the UK were trained and support was extended to 34 countries.""",,,,,,,,,,,,,,"£453,291",,,,"£453,291",#DIV/0!,,,,,,,,,,,,,,,,"No, need to finish reviewing the info. We have some numbers (as noted) on page 5, but hard to see how to relate these to the costs. Need to read a bit more first to see if we can work it out from the accounts. I suspect we can't, in which case we contact hte charity.",,,,,,,,,,,,,,,,,,,,
Coram,"Thomas Coram Foundation for Children, formerly Foundling Hospital",Children,,,,312278,Yes,Sanjay,"Provision of legal advice, training and research",1-Apr-2015,31-Mar-2016,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE PREVENTION OR RELIEF OF POVERTY • ACCOMMODATION / HOUSING • ARTS / CULTURE / HERITAGE / SCIENCE • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT,• CHILDREN / YOUNG PEOPLE • OTHER CHARITIES OR VOLUNTARY BODIES • OTHER DEFINED GROUPS ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=312278&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends78/0000312278_AC_20160331_E_C.pdf,,"P5 of accounts states: ""In 2015-16, the Coram group provided support to at least 1,310,600 individuals and users. There were 74,255 children and parents helped through direct services, 561,246 unique users benefitted from specialist digital-first advice services and up to 675,000 beneficiaries of Life Education programmes across at least 2,268 schools whilst 4,575 professionals in the UK were trained and support was extended to 34 countries.""",,,,,,,,,,,,,,"£3,684,408",,,,"£3,684,408",#DIV/0!,,,,,,,,,,,,,,,,"No, need to finish reviewing the info. We have some numbers (as noted) on page 5, but hard to see how to relate these to the costs. Need to read a bit more first to see if we can work it out from the accounts. I suspect we can't, in which case we contact hte charity.",,,,,,,,,,,,,,,,,,,,
Coram,"Thomas Coram Foundation for Children, formerly Foundling Hospital",Children,,,,312278,Yes,Sanjay,Advocacy,1-Apr-2015,31-Mar-2016,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE PREVENTION OR RELIEF OF POVERTY • ACCOMMODATION / HOUSING • ARTS / CULTURE / HERITAGE / SCIENCE • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT,• CHILDREN / YOUNG PEOPLE • OTHER CHARITIES OR VOLUNTARY BODIES • OTHER DEFINED GROUPS ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=312278&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends78/0000312278_AC_20160331_E_C.pdf,,"P5 of accounts states: ""In 2015-16, the Coram group provided support to at least 1,310,600 individuals and users. There were 74,255 children and parents helped through direct services, 561,246 unique users benefitted from specialist digital-first advice services and up to 675,000 beneficiaries of Life Education programmes across at least 2,268 schools whilst 4,575 professionals in the UK were trained and support was extended to 34 countries.""",,,,,,,,,,,,,,"£2,599,362",,,,"£2,599,362",#DIV/0!,,,,,,,,,,,,,,,,"No, need to finish reviewing the info. We have some numbers (as noted) on page 5, but hard to see how to relate these to the costs. Need to read a bit more first to see if we can work it out from the accounts. I suspect we can't, in which case we contact hte charity.",,,,,,,,,,,,,,,,,,,,
Coram,"Thomas Coram Foundation for Children, formerly Foundling Hospital",Children,,,,312278,Yes,Sanjay,Adoption partnerships,1-Apr-2015,31-Mar-2016,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE PREVENTION OR RELIEF OF POVERTY • ACCOMMODATION / HOUSING • ARTS / CULTURE / HERITAGE / SCIENCE • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT,• CHILDREN / YOUNG PEOPLE • OTHER CHARITIES OR VOLUNTARY BODIES • OTHER DEFINED GROUPS ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=312278&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends78/0000312278_AC_20160331_E_C.pdf,,"P5 of accounts states: ""In 2015-16, the Coram group provided support to at least 1,310,600 individuals and users. There were 74,255 children and parents helped through direct services, 561,246 unique users benefitted from specialist digital-first advice services and up to 675,000 beneficiaries of Life Education programmes across at least 2,268 schools whilst 4,575 professionals in the UK were trained and support was extended to 34 countries.""",,,,,,,,,,,,,,"£2,767,631",,,,"£2,767,631",#DIV/0!,,,,,,,,,,,,,,,,"No, need to finish reviewing the info. We have some numbers (as noted) on page 5, but hard to see how to relate these to the costs. Need to read a bit more first to see if we can work it out from the accounts. I suspect we can't, in which case we contact hte charity.",,,,,,,,,,,,,,,,,,,,
52 lives,,,,,,1166238,Yes,,,,,Yes,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, organisation is too young and doesn't have accounts",,,,,,,,,,,,,,,,,,,,
Book aid charitable trust,,international aid & education & Christian,,,Developing World,1039484,Yes,Sanjay,Overall,1-Jan-2015,31-Dec-2015,Yes,• RELIGIOUS ACTIVITIES,• OTHER DEFINED GROUPS ,• ACTS AS AN UMBRELLA OR RESOURCE BODY ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=1039484&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends84/0001039484_AC_20151231_E_C.pdf,,Number of books sent stated on P2 of accounts.,"800,000",book(s) sent,"Book Aid Charitable Trust selects suitable books and then transports them in twenty foot containers to Nigeria, India, Kenya, Zimbabwe",,,,,,,,,,,"£175,179",,,,"£175,179",£0.22,,,,,,,,"The accounts refer to £92,203 worth of book sales. It is not defined or explained what these are or where they come from, however it may be appropriate to exclude this from the overall spend, if it means that the activity is partly self-funding. This would roughly halve the cost from 20ish pence per book to about 10 pence per book. This is a surprisingly low cost -- the accounts refer to a nominal cost of 5p per book, but this is not defined; i.e. we don't know what they mean by ""nominal cost"" (and haven't asked)",,,,,,,,Yes,Low,"Unclear about the nature of the book sales mentioned in the accounts -- it may be the work is partly self-sustaining, but this is not clear from the info in the public domain. This might change our assessment of the numbesr",Book Aid Charitable Trust collects and ships secondhand Christian books to areas of need around the world.,,,,,,,,,,Prince Philip is patron of a charity called Book Aid (not sure which one!),,,,,,,
Book aid international,,international aid & education,,,Developing World,313869,Yes,Sanjay,Overall,1-Jan-2015,31-Dec-2015,Yes,• EDUCATION / TRAINING • OVERSEAS AID / FAMINE RELIEF,• CHILDREN / YOUNG PEOPLE • OTHER CHARITIES OR VOLUNTARY BODIES • OTHER DEFINED GROUPS • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • OTHER CHARITABLE ACTIVITIES ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=313869&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends69/0000313869_AC_20151231_E_C.pdf,,"Number of books sent stated on P11 of accounts. The costs are shown as c £11.5m in the accounts, however c £9.8m of this was donated books, so the £9.8m of donated books has been deducted","1,120,915",book(s) sent,,,,,,,,,,,,"£1,688,813",,,,"£1,688,813",£1.51,,,,,,,,"Number of books sent stated on P11 of accounts. The costs are shown as c £11.5m in the accounts, however c £9.8m of this was donated books, so the £9.8m of donated books has been deducted",,,,,,,,"No, need to understand how they have managed to fund a number of misc achievements at the top of p7 when the don't seem to have spent much on those.",,,,,,,,,,,,,Prince Philip is patron of a charity called Book Aid (not sure which one!),,,,,,,
Bolton School,,Education,,,,1110703,Yes,Sanjay,Overall,1-Sep-2014,31-Aug-2015,Yes,• EDUCATION / TRAINING,• CHILDREN / YOUNG PEOPLE,• MAKES GRANTS TO INDIVIDUALS,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=1110703&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends03/0001110703_AC_20150831_E_C.pdf,,Number of pupils mentioned on p5,"2,200",pupils' (singular: pupil's) education subsidised,,,,,,,,,,,,"£26,137,000","£24,308,000",,19000,"£1,810,000",£822.73,,,,,,,,,"£28,326,000","£1,084,000","£17,106,000",65%,"Reserves stated in the balance sheet, however p10 states that there are no reserves. This is confusing",,,Yes,,,"Bolton School is an independent day school in Bolton, Greater Manchester. It comprises a co-educational nursery, co-educational infant school, single sex junior schools and single sex senior schools including sixth forms",,,,,,,,,,,,,,,,,
